# UNDERTALE - MEGALOVANIA
# FORMAT: [SECONDS DELAY] [LETTER]
# link: https://musescore.com/minecraftvideosr/undertale_-_megalovania
# BPM IS PER WHOLE NOTE
# BPM: 120 => 60 Seconds / 120 Beats == 0.5 Seconds per Beats
# 2 seconds per WHOLE note
# 1 second per HALF note
# 0.5 seconds per QUARTER note
# 0.25 seconds per EIGHT note
# 0.125 seconds per SIXTEENTH note
# 0.0625 seconds per THIRTY-SECOND note

# FIRST MEASURE
0.00000 W
0.12500 W
0.25000 S
0.50000 S
# 0.75 BREAK
0.87500 D
# 1.0 BREAK
1.12500 D
# 1.25 BREAK
1.37500 A
1.50000 A
1.62500 S
1.75000 D
1.87500 W
# SECOND MEASURE
2.00000 W
2.12500 W
2.25000 S
2.50000 S
# 2.75 BREAK
2.87500 D
# 3.0 BREAK
3.12500 D
# 3.25 BREAK
3.37500 A
3.50000 A
3.62500 S
3.75000 D
3.87500 W
# THIRD MEASURE
4.00000 W
4.12500 W
4.25000 S
4.50000 S
# 4.75 BREAK
4.87500 D
# 5.0 BREAK
5.12500 D
# 5.25 BREAK
5.37500 A
5.50000 A
5.62500 S
5.75000 D
5.87500 W
# FOURTH MEASURE
6.00000 W
6.12500 W
6.25000 S
6.50000 S
# 6.75 BREAK
6.87500 D
# 7.0 BREAK
7.12500 D
# 7.25 BREAK
7.37500 A
7.50000 A
7.62500 S
7.75000 D
7.87500 W
# FIFTH MEASURE
8.00000 W
8.12500 W
8.25000 S
8.50000 S
# 8.75 BREAK
8.87500 D
# 9.0 BREAK
9.12500 D
# 9.25 BREAK
9.37500 A
9.50000 A
9.62500 S
9.75000 D
9.87500 W
# SIXTH MEASURE
10.00000 W
10.12500 W
10.25000 S
10.50000 S
# 10.75 BREAK
10.87500 D
# 11.0 BREAK
11.12500 D
# 11.25 BREAK
11.37500 A
11.50000 A
11.62500 S
11.75000 D
11.87500 W
# SEVENTH MEASURE
12.00000 W
12.12500 W
12.25000 S
12.50000 S
# 12.75 BREAK
12.87500 D
# 13.0 BREAK
13.12500 D
# 13.25 BREAK
13.37500 A
13.50000 A
13.62500 S
13.75000 D
13.87500 W
# EIGHT MEASURE
14.00000 W
14.12500 W
14.25000 S
14.50000 S
# 14.75 BREAK
14.87500 D
# 15.0 BREAK
15.12500 D
# 15.25 BREAK
15.37500 A
15.50000 A
15.62500 S
15.75000 D
15.87500 W
# NINTH MEASURE
16.00000 W
16.12500 W
16.25000 S
16.50000 S
# 16.75 BREAK
16.87500 D
# 17.0 BREAK
17.12500 D
# 17.25 BREAK
17.37500 A
17.50000 A
17.62500 S
17.75000 D
17.87500 W
# TENTH MEASURE
18.00000 W
18.12500 W
18.25000 S
18.50000 S
# 18.75 BREAK
18.87500 D
# 19.0 BREAK
19.12500 D
# 19.25 BREAK
19.37500 A
19.50000 A
19.62500 S
19.75000 D
19.87500 W
# ELEVENTH MEASURE
20.00000 W
20.12500 W
20.25000 S
20.50000 S
# 20.75 BREAK
20.87500 D
# 21.0 BREAK
21.12500 D
# 21.25 BREAK
21.37500 A
21.50000 A
21.62500 S
21.75000 D
21.87500 W
# TWELTH MEASURE
22.00000 W
22.12500 W
22.25000 S
22.50000 S
# 22.75 BREAK
22.87500 D
# 23.0 BREAK
23.12500 D
# 23.25 BREAK
23.37500 A
23.50000 A
23.62500 S
23.75000 D
23.87500 W
# THIRTHEENTH MEASURE
24.00000 W
24.12500 W
24.25000 S
24.50000 S
# 24.75 BREAK
24.87500 D
# 25.0 BREAK
25.12500 D
# 25.25 BREAK
25.37500 A
25.50000 A
25.62500 S
25.75000 D
25.87500 W
# FOURTEENTH MEASURE
26.00000 W
26.12500 W
26.25000 S
26.50000 S
# 26.75 BREAK
26.87500 D
# 27.0 BREAK
27.12500 D
# 27.25 BREAK
27.37500 A
27.50000 A
27.62500 S
27.75000 D
27.87500 W
# FIFTHEENTH MEASURE
28.00000 W
28.12500 W
28.25000 S
28.50000 S
# 28.75 BREAK
28.87500 D
# 29.0 BREAK
29.12500 D
# 29.25 BREAK
29.37500 A
29.50000 A
29.62500 S
29.75000 D
29.87500 W
# SIXTEENTH MEASURE
30.0000
30.125
30.25
30.50
# 30.75 BREAK
30.875
# 40.000 BREAK
40.125
# 40.250 BREAK
40.375 
40.50
40.625
40.750
40.8125
40.8750
# SEVENTEENTH MEASURE
40.9375
41.4375
41.5625
# 41.6875 BREAK
41.8125
# 41.875 BREAK
42.000
42.125
42.250
# 42.375 BREAK
42.500
42.625
# EIGHTEENTH MEASURE
43.125
